IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
1.60E03 1.690E-03 1.742E-07 3.21E06 111.94E03 83.49E03 
1.70E03 1.683E-03 1.646E-07 3.46E06 117.91E03 88.73E03 
1.80E03 1.677E-03 1.561E-07 3.72E06 123.65E03 93.86E03 
2.00E03 1.669E-03 1.415E-07 4.23E06 143.97E03 103.83E03 
2.25E03 1.665E-03 1.268E-07 4.88E06 171.02E03 115.74E03 
2.50E03 1.665E-03 1.150E-07 5.52E06 194.42E03 127.09E03 
2.75E03 1.667E-03 1.052E-07 6.17E06 215.29E03 137.93E03 
3.00E03 1.671E-03 9.701E-08 6.81E06 234.26E03 148.29E03 
3.25E03 1.676E-03 9.003E-08 7.46E06 251.73E03 158.22E03 
3.50E03 1.682E-03 8.402E-08 8.10E06 267.96E03 167.75E03 
3.75E03 1.688E-03 7.878E-08 8.74E06 283.18E03 176.92E03 
4.00E03 1.695E-03 7.417E-08 9.37E06 297.51E03 185.75E03 
4.50E03 1.708E-03 6.645E-08 10.64E06 347.79E03 202.50E03 
5.00E03 1.722E-03 6.022E-08 11.89E06 391.04E03 218.19E03 
5.50E03 1.736E-03 5.508E-08 13.14E06 429.39E03 232.96E03 
6.00E03 1.749E-03 5.078E-08 14.37E06 464.08E03 246.92E03 
6.50E03 1.761E-03 4.711E-08 15.60E06 495.91E03 260.17E03 
7.00E03 1.773E-03 4.396E-08 16.82E06 525.43E03 272.80E03 
8.00E03 1.795E-03 3.879E-08 19.23E06 627.25E03 296.42E03 
9.00E03 1.816E-03 3.474E-08 21.62E06 712.80E03 318.22E03 
10.00E03 1.834E-03 3.147E-08 23.98E06 787.61E03 338.50E03 
