 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\p_SiC_SRIM.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   2.539E-03  6.429E-07  310.88 mm    11.69 mm     9.49 mm  
 450.00 MeV   2.404E-03  5.767E-07  374.83 mm    14.89 mm    11.26 mm  
 500.00 MeV   2.297E-03  5.231E-07  442.06 mm    17.77 mm    13.09 mm  
 550.00 MeV   2.210E-03  4.790E-07  512.18 mm    20.46 mm    14.95 mm  
 600.00 MeV   2.139E-03  4.419E-07  584.83 mm    23.01 mm    16.84 mm  
 650.00 MeV   2.080E-03  4.104E-07  659.73 mm    25.45 mm    18.74 mm  
 700.00 MeV   2.030E-03  3.831E-07  736.62 mm    27.79 mm    20.66 mm  
 800.00 MeV   1.951E-03  3.385E-07  895.42 mm    35.93 mm    24.52 mm  
 900.00 MeV   1.893E-03  3.035E-07    1.06 m     42.99 mm    28.37 mm  
   1.00 GeV   1.848E-03  2.752E-07    1.23 m     49.38 mm    32.20 mm  
   1.10 GeV   1.814E-03  2.519E-07    1.40 m     55.27 mm    35.99 mm  
   1.20 GeV   1.787E-03  2.324E-07    1.58 m     60.78 mm    39.72 mm  
   1.30 GeV   1.766E-03  2.157E-07    1.76 m     65.97 mm    43.39 mm  
   1.40 GeV   1.749E-03  2.013E-07    1.94 m     70.89 mm    47.01 mm  
   1.50 GeV   1.735E-03  1.888E-07    2.12 m     75.57 mm    50.55 mm  
   1.60 GeV   1.725E-03  1.778E-07    2.30 m     80.04 mm    54.03 mm  
   1.70 GeV   1.716E-03  1.680E-07    2.48 m     84.33 mm    57.45 mm  
   1.80 GeV   1.710E-03  1.593E-07    2.67 m     88.45 mm    60.79 mm  
   2.00 GeV   1.701E-03  1.444E-07    3.04 m    103.14 mm    67.30 mm  
   2.25 GeV   1.695E-03  1.294E-07    3.50 m    122.69 mm    75.09 mm  
   2.50 GeV   1.693E-03  1.173E-07    3.97 m    139.62 mm    82.52 mm  
   2.75 GeV   1.694E-03  1.073E-07    4.44 m    154.73 mm    89.62 mm  
   3.00 GeV   1.697E-03  9.896E-08    4.90 m    168.46 mm    96.42 mm  
   3.25 GeV   1.701E-03  9.183E-08    5.37 m    181.12 mm   102.93 mm  
   3.50 GeV   1.706E-03  8.569E-08    5.83 m    192.89 mm   109.20 mm  
   3.75 GeV   1.711E-03  8.034E-08    6.30 m    203.92 mm   115.22 mm  
   4.00 GeV   1.717E-03  7.563E-08    6.76 m    214.33 mm   121.04 mm  
   4.50 GeV   1.730E-03  6.775E-08    7.67 m    250.93 mm   132.07 mm  
   5.00 GeV   1.742E-03  6.139E-08    8.59 m    282.42 mm   142.43 mm  
   5.50 GeV   1.754E-03  5.615E-08    9.49 m    310.36 mm   152.18 mm  
   6.00 GeV   1.766E-03  5.175E-08   10.39 m    335.65 mm   161.41 mm  
   6.50 GeV   1.778E-03  4.801E-08   11.28 m    358.86 mm   170.18 mm  
   7.00 GeV   1.789E-03  4.479E-08   12.17 m    380.40 mm   178.55 mm  
   8.00 GeV   1.810E-03  3.952E-08   13.93 m    454.81 mm   194.21 mm  
   9.00 GeV   1.830E-03  3.539E-08   15.66 m    517.34 mm   208.68 mm  
  10.00 GeV   1.847E-03  3.206E-08   17.38 m    572.03 mm   222.16 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.1599E+01                 eV / Angstrom 
  3.1599E+02                keV / micron   
  3.1599E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3291E+01                 eV / (1E15 atoms/cm2)
  1.9521E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
