IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
325.00 3.010E-03 8.204E-07 327.31E03 13.05E03 7.29E03 
350.00 2.893E-03 7.660E-07 369.63E03 14.40E03 8.17E03 
375.00 2.792E-03 7.185E-07 413.56E03 15.73E03 9.07E03 
400.00 2.704E-03 6.768E-07 459.01E03 17.04E03 9.98E03 
450.00 2.558E-03 6.068E-07 554.01E03 21.79E03 11.87E03 
500.00 2.441E-03 5.503E-07 653.99E03 26.06E03 13.81E03 
550.00 2.347E-03 5.037E-07 758.36E03 30.04E03 15.79E03 
600.00 2.269E-03 4.646E-07 866.62E03 33.81E03 17.80E03 
650.00 2.204E-03 4.313E-07 978.33E03 37.41E03 19.84E03 
700.00 2.149E-03 4.025E-07 1.09E06 40.87E03 21.89E03 
800.00 2.063E-03 3.555E-07 1.33E06 53.05E03 26.02E03 
900.00 1.998E-03 3.186E-07 1.58E06 63.61E03 30.16E03 
1.00E03 1.948E-03 2.888E-07 1.83E06 73.15E03 34.27E03 
1.10E03 1.909E-03 2.643E-07 2.09E06 81.97E03 38.35E03 
1.20E03 1.878E-03 2.437E-07 2.35E06 90.21E03 42.38E03 
1.30E03 1.854E-03 2.262E-07 2.62E06 97.98E03 46.35E03 
1.40E03 1.834E-03 2.111E-07 2.89E06 105.36E03 50.26E03 
1.50E03 1.818E-03 1.979E-07 3.17E06 112.39E03 54.10E03 
1.60E03 1.805E-03 1.863E-07 3.44E06 119.11E03 57.88E03 
1.70E03 1.795E-03 1.761E-07 3.72E06 125.55E03 61.60E03 
1.80E03 1.786E-03 1.669E-07 4.00E06 131.75E03 65.24E03 
2.00E03 1.774E-03 1.513E-07 4.56E06 154.08E03 72.34E03 
2.25E03 1.764E-03 1.355E-07 5.27E06 183.89E03 80.86E03 
2.50E03 1.759E-03 1.228E-07 5.98E06 209.72E03 89.01E03 
2.75E03 1.757E-03 1.123E-07 6.69E06 232.78E03 96.82E03 
3.00E03 1.758E-03 1.035E-07 7.40E06 253.79E03 104.31E03 
3.25E03 1.759E-03 9.603E-08 8.11E06 273.16E03 111.50E03 
3.50E03 1.762E-03 8.959E-08 8.82E06 291.22E03 118.44E03 
3.75E03 1.766E-03 8.398E-08 9.53E06 308.16E03 125.12E03 
4.00E03 1.770E-03 7.905E-08 10.23E06 324.15E03 131.57E03 
4.50E03 1.779E-03 7.079E-08 11.64E06 380.77E03 143.86E03 
5.00E03 1.789E-03 6.412E-08 13.04E06 429.52E03 155.41E03 
5.50E03 1.799E-03 5.864E-08 14.44E06 472.82E03 166.33E03 
6.00E03 1.808E-03 5.404E-08 15.82E06 512.07E03 176.69E03 
6.50E03 1.818E-03 5.012E-08 17.20E06 548.14E03 186.54E03 
7.00E03 1.828E-03 4.675E-08 18.57E06 581.63E03 195.96E03 
8.00E03 1.846E-03 4.124E-08 21.29E06 697.77E03 213.64E03 
9.00E03 1.863E-03 3.691E-08 23.99E06 795.41E03 230.01E03 
10.00E03 1.879E-03 3.343E-08 26.66E06 880.85E03 245.29E03 
