 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\He_SiC_SRIM.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 350.00 MeV   2.668E-02  1.076E-05   23.37 mm   933.54 um   409.82 um  
 375.00 MeV   2.534E-02  1.010E-05   26.41 mm     1.03 mm   461.17 um  
 400.00 MeV   2.416E-02  9.520E-06   29.61 mm     1.13 mm   514.86 um  
 450.00 MeV   2.217E-02  8.544E-06   36.44 mm     1.49 mm   628.97 um  
 500.00 MeV   2.056E-02  7.756E-06   43.85 mm     1.83 mm   751.53 um  
 550.00 MeV   1.923E-02  7.105E-06   51.80 mm     2.15 mm   881.98 um  
 600.00 MeV   1.810E-02  6.558E-06   60.28 mm     2.47 mm     1.02 mm  
 650.00 MeV   1.715E-02  6.092E-06   69.26 mm     2.79 mm     1.16 mm  
 700.00 MeV   1.632E-02  5.690E-06   78.71 mm     3.10 mm     1.32 mm  
 800.00 MeV   1.496E-02  5.031E-06   98.96 mm     4.23 mm     1.64 mm  
 900.00 MeV   1.390E-02  4.513E-06  120.89 mm     5.26 mm     1.98 mm  
   1.00 GeV   1.304E-02  4.095E-06  144.39 mm     6.24 mm     2.34 mm  
   1.10 GeV   1.234E-02  3.750E-06  169.33 mm     7.18 mm     2.72 mm  
   1.20 GeV   1.175E-02  3.460E-06  195.60 mm     8.11 mm     3.11 mm  
   1.30 GeV   1.125E-02  3.213E-06  223.11 mm     9.01 mm     3.52 mm  
   1.40 GeV   1.082E-02  3.000E-06  251.78 mm     9.90 mm     3.94 mm  
   1.50 GeV   1.045E-02  2.815E-06  281.52 mm    10.77 mm     4.37 mm  
   1.60 GeV   1.013E-02  2.651E-06  312.26 mm    11.64 mm     4.80 mm  
   1.70 GeV   9.845E-03  2.506E-06  343.93 mm    12.49 mm     5.25 mm  
   1.80 GeV   9.593E-03  2.377E-06  376.48 mm    13.33 mm     5.70 mm  
   2.00 GeV   9.168E-03  2.156E-06  443.94 mm    16.44 mm     6.63 mm  
   2.25 GeV   8.748E-03  1.933E-06  532.26 mm    20.69 mm     7.81 mm  
   2.50 GeV   8.418E-03  1.753E-06  624.42 mm    24.50 mm     9.01 mm  
   2.75 GeV   8.154E-03  1.604E-06  719.87 mm    28.01 mm    10.22 mm  
   3.00 GeV   7.939E-03  1.480E-06  818.17 mm    31.32 mm    11.44 mm  
   3.25 GeV   7.762E-03  1.373E-06  918.91 mm    34.45 mm    12.66 mm  
   3.50 GeV   7.614E-03  1.282E-06    1.02 m     37.44 mm    13.88 mm  
   3.75 GeV   7.491E-03  1.202E-06    1.13 m     40.31 mm    15.10 mm  
   4.00 GeV   7.386E-03  1.132E-06    1.23 m     43.07 mm    16.31 mm  
   4.50 GeV   7.220E-03  1.015E-06    1.45 m     52.93 mm    18.70 mm  
   5.00 GeV   7.099E-03  9.197E-07    1.67 m     61.53 mm    21.05 mm  
   5.50 GeV   7.008E-03  8.415E-07    1.89 m     69.30 mm    23.35 mm  
   6.00 GeV   6.940E-03  7.759E-07    2.12 m     76.43 mm    25.59 mm  
   6.50 GeV   6.889E-03  7.201E-07    2.35 m     83.06 mm    27.79 mm  
   7.00 GeV   6.851E-03  6.720E-07    2.58 m     89.28 mm    29.94 mm  
   8.00 GeV   6.804E-03  5.932E-07    3.04 m    110.85 mm    34.07 mm  
   9.00 GeV   6.781E-03  5.314E-07    3.51 m    129.04 mm    38.01 mm  
  10.00 GeV   6.775E-03  4.815E-07    3.98 m    145.03 mm    41.77 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.1599E+01                 eV / Angstrom 
  3.1599E+02                keV / micron   
  3.1599E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3291E+01                 eV / (1E15 atoms/cm2)
  2.9499E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
